merchant_id,total_sales,sales_use_coupon,total_coupon,merchant_min_distance,merchant_max_distance,merchant_mean_distance,merchant_median_distance,merchant_coupon_transfer_rate,coupon_rate
4663,40.0,5.0,839.0,0.0,6.0,2.25,1.5,0.0059594755661501785,0.125
2632,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.25,0.5
3381,678.0,30.0,3510.0,0.0,10.0,1.5714285714285714,1.0,0.008547008547008548,0.04424778761061947
450,475.0,90.0,2612.0,0.0,10.0,0.8941176470588236,0.0,0.03445635528330781,0.18947368421052632
6459,2.0,0.0,1.0,,,,,0.0,0.0
6901,691.0,75.0,1056.0,0.0,7.0,0.47297297297297297,0.0,0.07102272727272728,0.1085383502170767
1579,3.0,0.0,3.0,,,,,0.0,0.0
1569,32.0,4.0,1705.0,0.0,1.0,0.25,0.0,0.002346041055718475,0.125
8390,212.0,32.0,96.0,0.0,10.0,0.8333333333333334,0.0,0.3333333333333333,0.1509433962264151
3051,2.0,0.0,0.0,,,,,,0.0
3621,402.0,84.0,1509.0,0.0,4.0,0.28378378378378377,0.0,0.055666003976143144,0.208955223880597
2277,50.0,4.0,120.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.08
1361,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5
6485,1203.0,237.0,779.0,0.0,10.0,0.4418604651162791,0.0,0.3042362002567394,0.1970074812967581
7555,571.0,65.0,1238.0,0.0,10.0,1.6774193548387097,1.0,0.05250403877221325,0.1138353765323993
2934,1625.0,138.0,839.0,0.0,10.0,1.1626016260162602,0.0,0.16448152562574495,0.08492307692307692
4874,30.0,0.0,9.0,,,,,0.0,0.0
1539,1.0,0.0,0.0,,,,,,0.0
4666,30.0,0.0,52.0,,,,,0.0,0.0
2454,35.0,10.0,21.0,0.0,4.0,0.7,0.0,0.47619047619047616,0.2857142857142857
760,1113.0,188.0,2566.0,0.0,10.0,0.3258426966292135,0.0,0.07326578332034295,0.16891284815813118
5341,1465.0,0.0,0.0,,,,,,0.0
1940,2.0,0.0,1.0,,,,,0.0,0.0
3403,53.0,13.0,36.0,0.0,3.0,0.8333333333333334,0.0,0.3611111111111111,0.24528301886792453
4442,2.0,1.0,18.0,2.0,2.0,2.0,2.0,0.05555555555555555,0.5
4195,163.0,18.0,93.0,0.0,1.0,0.0625,0.0,0.1935483870967742,0.11042944785276074
6189,109.0,19.0,49.0,0.0,0.0,0.0,0.0,0.3877551020408163,0.1743119266055046
2241,15.0,1.0,4.0,0.0,0.0,0.0,0.0,0.25,0.06666666666666667
8479,8.0,0.0,3.0,,,,,0.0,0.0
2099,359.0,0.0,0.0,,,,,,0.0
2786,67.0,6.0,49.0,0.0,8.0,1.3333333333333333,0.0,0.12244897959183673,0.08955223880597014
4141,3.0,0.0,0.0,,,,,,0.0
