merchant_id,total_sales,sales_use_coupon,total_coupon,merchant_min_distance,merchant_max_distance,merchant_mean_distance,merchant_median_distance,merchant_coupon_transfer_rate,coupon_rate
2632,1.0,0.0,4.0,,,,,0.0,0.0
3381,972.0,124.0,7691.0,0.0,10.0,1.8699186991869918,1.0,0.01612274086594721,0.12757201646090535
2099,452.0,139.0,1271.0,0.0,7.0,0.6176470588235294,0.0,0.1093627065302911,0.3075221238938053
4833,46.0,8.0,614.0,0.0,8.0,2.125,1.0,0.013029315960912053,0.17391304347826086
8390,120.0,17.0,58.0,0.0,10.0,1.2352941176470589,1.0,0.29310344827586204,0.14166666666666666
1041,147.0,30.0,572.0,0.0,10.0,1.1724137931034482,0.0,0.05244755244755245,0.20408163265306123
7884,102.0,7.0,139.0,0.0,1.0,0.5714285714285714,1.0,0.050359712230215826,0.06862745098039216
5341,1854.0,507.0,2806.0,0.0,10.0,0.056,0.0,0.18068424803991448,0.27346278317152106
2709,76.0,5.0,2013.0,0.0,1.0,0.75,1.0,0.0024838549428713363,0.06578947368421052
7555,565.0,101.0,1613.0,0.0,10.0,0.5714285714285714,0.0,0.06261624302541847,0.17876106194690267
2934,1472.0,138.0,839.0,0.0,10.0,1.1626016260162602,0.0,0.16448152562574495,0.09375
6485,936.0,183.0,680.0,0.0,5.0,0.39156626506024095,0.0,0.2691176470588235,0.1955128205128205
7019,65.0,4.0,1058.0,0.0,0.0,0.0,0.0,0.003780718336483932,0.06153846153846154
6284,13.0,2.0,867.0,7.0,7.0,7.0,7.0,0.002306805074971165,0.15384615384615385
4433,12.0,12.0,479.0,,,,,0.025052192066805846,1.0
7706,43.0,0.0,353.0,,,,,0.0,0.0
4666,27.0,0.0,0.0,,,,,,0.0
2454,24.0,8.0,15.0,0.0,1.0,0.375,0.0,0.5333333333333333,0.3333333333333333
760,549.0,72.0,1034.0,0.0,1.0,0.10144927536231885,0.0,0.06963249516441006,0.13114754098360656
4142,567.0,97.0,272.0,0.0,9.0,0.4842105263157895,0.0,0.35661764705882354,0.1710758377425044
3710,279.0,36.0,438.0,0.0,2.0,0.17142857142857143,0.0,0.0821917808219178,0.12903225806451613
450,386.0,27.0,2418.0,0.0,8.0,0.64,0.0,0.011166253101736972,0.06994818652849741
1569,50.0,9.0,1692.0,0.0,10.0,5.25,5.5,0.005319148936170213,0.18
4660,7.0,2.0,1937.0,0.0,1.0,0.5,0.5,0.0010325245224574084,0.2857142857142857
6134,29.0,1.0,22.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.034482758620689655
1940,1.0,0.0,0.0,,,,,,0.0
8386,11.0,2.0,711.0,1.0,2.0,1.5,1.5,0.0028129395218002813,0.18181818181818182
4860,11.0,11.0,953.0,0.0,4.0,1.6363636363636365,1.0,0.011542497376705142,1.0
6454,92.0,8.0,1599.0,0.0,10.0,1.375,0.0,0.0050031269543464665,0.08695652173913043
3403,25.0,4.0,13.0,0.0,3.0,1.0,0.5,0.3076923076923077,0.16
2804,10.0,0.0,192.0,,,,,0.0,0.0
2146,134.0,7.0,793.0,0.0,0.0,0.0,0.0,0.008827238335435058,0.05223880597014925
6424,8.0,1.0,619.0,0.0,0.0,0.0,0.0,0.0016155088852988692,0.125
1169,210.0,38.0,533.0,0.0,10.0,1.0285714285714285,0.0,0.07129455909943715,0.18095238095238095
4195,146.0,13.0,112.0,0.0,1.0,0.09090909090909091,0.0,0.11607142857142858,0.08904109589041095
6434,33.0,7.0,1207.0,0.0,2.0,0.42857142857142855,0.0,0.00579950289975145,0.21212121212121213
4663,113.0,7.0,312.0,0.0,4.0,1.0,0.0,0.022435897435897436,0.061946902654867256
3621,226.0,21.0,142.0,0.0,1.0,0.2,0.0,0.14788732394366197,0.09292035398230089
2241,9.0,0.0,1.0,,,,,0.0,0.0
2786,44.0,5.0,26.0,0.0,8.0,1.6,0.0,0.19230769230769232,0.11363636363636363
4141,2.0,0.0,0.0,,,,,,0.0
6504,66.0,4.0,41.0,2.0,10.0,6.0,6.0,0.0975609756097561,0.06060606060606061
1433,263.0,19.0,1431.0,0.0,5.0,0.8947368421052632,0.0,0.013277428371767994,0.07224334600760456
4048,1.0,1.0,12.0,,,,,0.08333333333333333,1.0
1469,625.0,9.0,122.0,0.0,4.0,0.4444444444444444,0.0,0.07377049180327869,0.0144
1320,10.0,0.0,4.0,,,,,0.0,0.0
1945,172.0,5.0,49.0,0.0,1.0,0.2,0.0,0.10204081632653061,0.029069767441860465
741,23.0,4.0,24.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.17391304347826086
8077,13.0,1.0,376.0,0.0,0.0,0.0,0.0,0.0026595744680851063,0.07692307692307693
7974,207.0,17.0,544.0,0.0,10.0,1.9411764705882353,0.0,0.03125,0.0821256038647343
1941,300.0,16.0,141.0,0.0,2.0,0.2857142857142857,0.0,0.11347517730496454,0.05333333333333334
3786,167.0,26.0,439.0,0.0,10.0,1.4782608695652173,0.0,0.05922551252847381,0.15568862275449102
2436,489.0,9.0,61.0,0.0,10.0,1.375,0.0,0.14754098360655737,0.018404907975460124
1520,87.0,87.0,633.0,,,,,0.13744075829383887,1.0
2762,7.0,0.0,17.0,,,,,0.0,0.0
8037,105.0,24.0,459.0,0.0,5.0,0.5833333333333334,0.0,0.05228758169934641,0.22857142857142856
1080,124.0,5.0,12.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.04032258064516129
6362,10.0,1.0,11.0,,,,,0.09090909090909091,0.1
4582,36.0,4.0,205.0,0.0,2.0,1.25,1.5,0.01951219512195122,0.1111111111111111
6486,22.0,2.0,74.0,0.0,2.0,1.0,1.0,0.02702702702702703,0.09090909090909091
3033,24.0,0.0,0.0,,,,,,0.0
2970,293.0,13.0,292.0,0.0,10.0,1.8181818181818181,1.0,0.04452054794520548,0.04436860068259386
6106,16.0,1.0,21.0,,,,,0.047619047619047616,0.0625
6901,464.0,27.0,138.0,0.0,1.0,0.07692307692307693,0.0,0.1956521739130435,0.05818965517241379
5590,11.0,0.0,0.0,,,,,,0.0
7564,10.0,0.0,0.0,,,,,,0.0
7679,111.0,12.0,101.0,0.0,1.0,0.375,0.0,0.1188118811881188,0.10810810810810811
7013,18.0,0.0,1.0,,,,,0.0,0.0
6830,31.0,0.0,6.0,,,,,0.0,0.0
3293,72.0,7.0,55.0,0.0,10.0,2.1666666666666665,0.5,0.12727272727272726,0.09722222222222222
2046,6.0,1.0,284.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.16666666666666666
3525,18.0,0.0,0.0,,,,,,0.0
2155,1.0,0.0,0.0,,,,,,0.0
2365,6.0,0.0,2.0,,,,,0.0,0.0
8614,44.0,4.0,57.0,0.0,1.0,0.5,0.5,0.07017543859649122,0.09090909090909091
4679,3.0,0.0,3.0,,,,,0.0,0.0
924,13.0,4.0,12.0,0.0,4.0,1.3333333333333333,0.0,0.3333333333333333,0.3076923076923077
611,29.0,2.0,27.0,0.0,3.0,1.5,1.5,0.07407407407407407,0.06896551724137931
6801,3.0,0.0,0.0,,,,,,0.0
539,14.0,0.0,5.0,,,,,0.0,0.0
5717,183.0,7.0,412.0,0.0,2.0,0.5714285714285714,0.0,0.01699029126213592,0.03825136612021858
